,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                                                    :,,Suhu,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran                                       :,,TIDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,1,Master Olah Data_Suhu_TIDS 2022,2022-02-08T00:00:00,"- Creating All Sheets
- Adding New Sheet ""STANDAR-VICTOR(REC-1)""",NR,,NR,,,,,,,,,,,,,,,,
,,,,,Position :,Supervisor,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-02-08T00:00:00,Date:,2022-02-09T00:00:00,Date:,,,,,,,,,,,,,,
,2,Master Olah Data_Suhu_TIDS 2022,2022-07-19T00:00:00,"- Deleting Drop box No. Thermocouple on ""INPUT DATA"" sheet and changes with automatic IF Equation based on the Set Point.
- Adding ""Inhomogenitas Stabilitas DryBlock"" sheet.
- Adding ""Inhomogenitas"" and ""Stabilitas Dryblock"" to budget list U95%, the data refer to ""Inhomogenitas Stabilitas DryBlock"" sheet.",HN,,NR,,,,Update TC type K new calibration new equipment,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-07-19T00:00:00,Date:,2022-07-20T00:00:00,Date:,,,,,,,,,,,,,,
,3,Master Olah Data_Suhu_TIDS 2022,2022-07-25T00:00:00,"- Update calibration result New TC type K on ""Thermocouple Type K"" sheet, automaticcally connected with Tabel Nilai Koreksi Sensor Termocouple & Tabel U95% Thermocouple on ""Interpolasi"" and ""Standar_Kalibrator"" sheet.
'-Update calibration result New TC type N on ""Thermocouple Type N"" sheet, automaticcally connected with Tabel Nilai Koreksi Sensor Termocouple & Tabel U95% Thermocouple on ""Interpolasi"" and ""Standar_Kalibrator"" sheet",HN,,NR,,,,Update TC type N new calibration new equipment,,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-07-25T00:00:00,Date:,2022-07-26T00:00:00,Date:,,,,,,,,,,,,,,
,4,Master Olah Data_Suhu_TIDS 2022,2022-08-12T00:00:00,"-Updating new calibration TC type N on ""Standar Kalibrator"" & ""Termocouple Type N"" sheet.",HN,,NR,,,,"Tambahkan dropbox untuk memilih Dryblock A/B
Update sheet Prt PT100",,,,,,,,,,,,
,,,,,Position :,,Position :,Supervisor,Position :,,,,,,,,,,,,,,
,,,,,Date:,2022-08-12T00:00:00,Date:,2022-08-15T00:00:00,Date:,,,,,,,,,,,,,,
