PT. SIDIK,,,KALIBRASI AUTOCLAVE,,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Data Choosen From Combobox,,,,,,
,,,,,,,,,,,,,,Certificate Number,,:,0281-CAL-624,,,(DON'T ERASE),,,,,,
,,,,,,,,,,,,,,Order Number,,:,2406.25.L,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Technician ID,,:,AJ,,,
,Nama Alat,,:,Autoclave,,,,,,,Nama Custromer,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,Calibration Method,,:,Autoclave,,,
,Merk,,:,Hirayama,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,HIClave HV-110,,,,,,,Alamat Customer,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,
,No. Seri,,:,DR-0000173,,,,,,,,,,,,,,,,Calculated by,,1,NR,,,
,Rentang Ukur,,:,121,,oC,0.2,5,,,,,,,,,,,,Signed by,,:,Alex Misramto,,,
,Kapasitas Alat,,:,121,,oC,0.2,MPa,,,Tanggal Terima ,,,:,2024-06-28T00:00:00,,,,,Position,,:,Technical Manager,,,
,Resolusi Alat,,:,0.01,,oC,0.001,MPa,,,Tanggal Terima ,,,:,2024-06-28T00:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Thermohygro,,:,TH-6,,,
,KONDISI LINGKUNGAN,,,,,,,,,,PENGERJAAN,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Pressure unit,,:,MPa,,,
,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,,:,Insitu (Lab NE),,,,,Skala,,:,1,,,
,Suhu Ruangan,,:,24.4,24.5,,24.45,oC,,,Technician ID,,,:,7,,,,,Display Type Pres.,,:,Digital,,,
,Kelembaban,,:,55,56,,55.5,%RH,,,Calibration Method,,,:,31,,,,,Status Temp. Calibrator 1,,:,3.608739004630479,,,
,Thermohygro Used,,:,6,,,,,,,Standar Meter Used,,,:,• Temperature Calibrator 1 (Technosoft),,,WARNING,,Status Pressure Calibrator,,:,-66.39126099536952,,,
,,,,,,,,,,,,,,,• Pressure Calibrator Disk (Technosoft),,,EXPIRED,,Status Temp. Calibrator 2,,:,108.60873900463048,,,
,,,,,,,,,,,,,,,• Temperature Calibrator 2 (Technosoft),,,VALID,,Status Temp. Calibrator 3,,:,108.60873900463048,,,
,,,,,,,,,,,,,,,• Temperature Calibrator 3 (Technosoft),,,VALID,,Rasio jarum:NST,,,,,,
,,,,,,,,,,,,,,,,,,,,1/2,,:,TRUE,,,
,DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,1/5,,:,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1/10,,:,FALSE,,,
,1. CALIBRATION RESULT FOR TEMPERATURE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",121,Data Hasil Pengukuran/Pengulangan Selama Proses Sterilisasi (oC),,,,,,,,,,,,,,,,,,,,,,,
,Temp. Disk No.,,1,,2,,3,4,,5,,,,,,,,,,,,,,,,
,Waktu pengambilan data,,02:00:00,,04:00:00,,06:00:00,08:00:00,,10:00:00,,,,,,,,,,,,,,,,
,1,,121.27,,121.26,,121.26,121.26,,121.28,,,,,,,,,,,,,,,,
,2,,121.3,,121.26,,121.26,121.25,,121.25,,,,,,,,,,,,,,,,
,3,,121.26,,121.26,,121.28,121.35,,121.28,,,,,,,,,,,,,,,,
,Indikator (oC),,121,,121,,121,121,,121,,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25,,25,,25,25,,25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. CALIBRATION RESULT FOR PRESSURE,,,,,,,,,,,,,,,,,,,,,,,,,
,UUT Reading,,Data Hasil Pengukuran/Pengulangan Selama Proses Sterilisasi (oC),,,,,,,,Bar,,Display Skala (Pressure) :,,,,,,,,,,,,,
,,,1,,2,,3,4,,5,,,,,,,,,,,,,,,,
,Waktu pengambilan data,,02:00:00,,04:00:00,,06:00:00,08:00:00,,10:00:00,,,,,*(Isi rasio ↓),,,,,,,,,,,
,0.112,MPa,1.233,,1.231,,1.225,1.224,,1.242,,,Rasio Jarum/NST:,,1,,,,,,,,,,,
,,MPa,,,,,,,,,,,,,,,,,,,,,,,,
,,MPa,,,,,,,,,,,,,,,,,,,,,,,,
,,MPa,,,,,,,,,,,,,,,,,,,,,,,,
,,MPa,,,,,,,,,,,,,,,,,,,,,,,,
,,MPa,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,:,2024-07-02T00:00:00,,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,,
,Name,:,2,Name,:,2,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
