PT. SIDIK,,,"KALIBRASI
CONDUCTIVITY METER",,,,,,,,,,,,,,LK-285-IDN,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrator Standard Status Monitoring :,,,,,,,,,,ONE OR MORE STANDARD EXPIRED,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Certificate Number,,,:,0189-CAL-524,,,,,,,,,,,
,,,,,,,,,,,,,,Order Number,,,:,2405.32.A.NK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Conductivity Meter,,,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,
,Merk,,:,Lovibond,,,,,,,,,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,,,,,
,Type,,:,Sensodirect ISO,,,,,,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,Satuan hidrometer,,:,mS/cm,,,,,
,No. Seri,,:,C12345,,,,,,,,,,,,,,,,,Thermohygro used,,:,TH-6,,,,,
,Rentang Ukur,,:,0-100,,,,2,,,,,,,,,,,,,Teknisi,,:,JO,,,,,
,Kapasitas Max.,,:,100,,,,mS/cm,,,,,Tanggal Terima ,,:,2024-05-13T00:00:00,,,,,Metode Kalibrasi,,:,Conductivity Meter,,,,,
,Resolusi Alat,,:,Std 25 µS/cm,,Std 1412 µS/cm,,Std 111 mS/cm,,,,,Tanggal Kalibrasi,,:,2024-05-13T00:00:00,,,,,,,,,,,,,
,,,,0.1,µS/cm,1,µS/cm,0.01,mS/cm,,,,,,,,,,,,Standar Used,,:,,,,,,
,,,,,,,mS/cm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"  ↓
 isi sesuai satuan res. alat",,,,,,,,,,,,,,,Conduct 84 ,,:,True,Conductivity Std Solution 25 µS/cm,,,,
,KONDISI LINGKUNGAN,,,,,,,,,,,PENGERJAAN,,,,,,,,,Conduct 1413,,:,True,Conductivity Std Solution 1412 µS/cm,,,,
,,,,,,,,,,,,,,,,,,,,,Conduct 5000,,:,True,Conductivity Std Solution 111 mS/cm,,,,
,,,,Awal,Akhir,,Average,,,,,,Lokasi Kalibrasi,,:,Lab. PT. Sidik,,,,,Conduct 80000,,:,True,0,,,,
,Suhu Ruangan,,:,25.4,25.5,,25.45,oC,,,,,Technician ID,,:,3,,,,,Termometer & Sensor,,:,True,Termometer & Sensor Std.,,,,
,Kelembaban,,:,54,55,,54.5,%RH,,,,,Calibration Method,,:,7,,,,,,,,,,,,,
,Thermohygro Used,,:,6,,,,,,,,,Standar Used,,:,,,,VALID,,Dihitung oleh,,:,DR,,,,,
,,,,,,,,,,,,,,,,,,,VALID,,Penandatangan,,:,Alex Misramto,,,,,
,,,,,,,,,,,,,,,,,,,VALID,,Posisi,,:,Technical Manager,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WARNING,,Status kalibrator conduct 25 uS,,:,163.61178159722476,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA HASIL KALIBRASI,,,,,,,,,,,,,,,,,,,,,Statu kalibrator conduct 1412 uS,,:,292.61178159722476,,,,,
,,,,,,,,,,,,,,,,,,,,,Statu kalibrator conduct 111 mS,,:,617.6117815972248,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Status Kalibrator Temp. Constant,,:,-9.388218402775237,,,,,
,,,,,,,,,,,,,,,,,,,,,Statuskalibrator sensor PT100,,:,176.61178159722476,,,,,
,,Standard,,,Before Adjustment Reading,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,25,µS/cm,1412,µS/cm,1.412,mS/cm,111,mS/cm,,,,,,,,,,,,,,,,,
,,Repeat,,,µS/cm,oC,µS/cm,oC,mS/cm,oC,mS/cm,oC,,,,,,,,,,,,,,,,,
,,1,,,25,25.2,1413,25,,,110.69,25.2,,,,,,,,,,,,,,,,,
,,2,,,25,25.2,1413,24.9,,,110.67,25.2,,,,,,,,,,,,,,,,,
,,3,,,25,25.2,1413,24.9,,,110.67,25.2,,,,,,,,,,,,,,,,,
,,4,,,25.1,25.3,1413,24.9,,,110.67,25.2,,,,,,,,,,,,,,,,,
,,5,,,25.1,25.2,1413,24.9,,,110.67,25.2,,,,,,,,,,,,,,,,,
,,,,,,,isi sesuai satuan pembacaan alat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Standard,,,After Adjustment Reading,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,25,µS/cm,1412,µS/cm,1.412,mS/cm,111,mS/cm,,,,,,,,,,,,,,,,,
,,Repeat,,,µS/cm,oC,µS/cm,oC,mS/cm,oC,mS/cm,oC,,,,,,,,,,,,,,,,,
,,1,,,25,25.2,1413,25,,,110.69,25.2,,,,,,,,,,,,,,,,,
,,2,,,25,25.2,1413,24.9,,,110.67,25.2,,,,,,,,,,,,,,,,,
,,3,,,25,25.2,1413,24.9,,,110.67,25.2,,,,,,,,,,,,,,,,,
,,4,,,25.1,25.3,1413,24.9,,,110.67,25.2,,,,,,,,,,,,,,,,,
,,5,,,25.1,25.2,1413,24.9,,,110.67,25.2,,,,,,,,,,,,,,,,,
,,,,,,,isi sesuai satuan pembacaan alat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,:,2024-05-15T00:00:00,,,,,,,"Note:
jika data 1413 mS/cm yang diisi---> gunakan sertifikat style 1
jika data 1413 µS/cm yang diisi---> gunakan sertifikat style 2",,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,,,,,
,Name   :,3,,Name   :,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
